445.7583,2744,
Mascot_mz,MassHunter_mz,Difference
445.7583,444.8592,0.8991339
445.7583,444.8604,0.89792
445.7583,444.8723,0.8859557
445.7583,444.8753,0.8830354
445.7583,444.876,0.8822554
445.7583,444.8771,0.8811846
445.7583,444.8782,0.8800839
445.7583,444.8783,0.879979
445.7583,444.8793,0.8790116
445.7583,444.8795,0.8788437
445.7583,444.8795,0.8787755
445.7583,444.8795,0.878752
445.7583,444.8798,0.8785398
445.7583,444.8798,0.8785123
445.7583,444.8799,0.8784307
445.7583,444.8801,0.8782303
445.7583,444.8801,0.8782077
445.7583,444.8801,0.8781711
445.7583,444.8803,0.8780411
445.7583,444.8803,0.87796
445.7583,444.8804,0.8779275
445.7583,444.8805,0.8778102
445.7583,444.8807,0.8776384
445.7583,444.8807,0.8775895
445.7583,444.8808,0.8774992
445.7583,444.8808,0.8774925
445.7583,444.8808,0.8774803
445.7583,444.8809,0.8774247
445.7583,444.881,0.8773427
445.7583,444.8811,0.8772251
445.7583,444.8811,0.877212
445.7583,444.8811,0.8772111
445.7583,444.8811,0.8771741
445.7583,444.8812,0.8771354
445.7583,444.8813,0.8770431
445.7583,444.8814,0.8769369
445.7583,444.8814,0.8768729
445.7583,444.8815,0.8768208
445.7583,444.8815,0.8767744
445.7583,444.8816,0.8766534
445.7583,444.8817,0.8765711
445.7583,444.8818,0.876542
445.7583,444.8818,0.876518
445.7583,444.882,0.8763038
445.7583,444.8821,0.8762177
445.7583,444.8821,0.8761542
445.7583,444.8822,0.8760831
445.7583,444.8824,0.875933
445.7583,444.8826,0.8757107
445.7583,444.8827,0.875614
445.7583,444.883,0.8753445
445.7583,444.8831,0.8751663
445.7583,444.8834,0.8749469
445.7583,444.8835,0.8747677
445.7583,444.8837,0.8745906
445.7583,444.8843,0.8739732
445.7583,444.8844,0.8738935
445.7583,444.8846,0.8737369
445.7583,444.8846,0.8736594
445.7583,444.8847,0.8735682
445.7583,444.8848,0.8734918
445.7583,444.8849,0.8734308
445.7583,444.8849,0.8733571
445.7583,444.8855,0.8727867
445.7583,444.8858,0.8724767
445.7583,444.8859,0.8724008
445.7583,444.886,0.8723373
445.7583,444.886,0.8722878
445.7583,444.8861,0.8722039
445.7583,444.8862,0.8721397
445.7583,444.8863,0.872044
445.7583,444.8864,0.8719461
445.7583,444.8866,0.8716734
445.7583,444.8867,0.8715705
445.7583,444.8869,0.8714365
445.7583,444.887,0.87134
445.7583,444.887,0.8712907
445.7583,444.887,0.8712612
445.7583,444.887,0.8712581
445.7583,444.8871,0.8712165
445.7583,444.8871,0.8711605
445.7583,444.8872,0.871108
445.7583,444.8872,0.8710785
445.7583,444.8872,0.8710771
445.7583,444.8873,0.8709596
445.7583,444.8874,0.8708717
445.7583,444.8874,0.8708594
445.7583,444.8875,0.8707832
445.7583,444.8877,0.8706449
445.7583,444.8877,0.8706444
445.7583,444.8877,0.8705962
445.7583,444.8878,0.8705101
445.7583,444.8878,0.8705029
445.7583,444.8878,0.8704736
445.7583,444.8879,0.8703852
445.7583,444.8879,0.8703757
445.7583,444.8882,0.8701442
445.7583,444.8882,0.870129
445.7583,444.8882,0.8701104
445.7583,444.8882,0.8700743
445.7583,444.8884,0.8698999
445.7583,444.8884,0.8698759
445.7583,444.8885,0.869798
445.7583,444.8886,0.8697413
445.7583,444.8886,0.8697224
445.7583,444.8886,0.8696855
445.7583,444.8886,0.8696786
445.7583,444.8886,0.8696655
445.7583,444.8886,0.8696545
445.7583,444.8887,0.8696116
445.7583,444.8887,0.869601
445.7583,444.8887,0.8695994
445.7583,444.8887,0.8695527
445.7583,444.8889,0.8693577
445.7583,444.889,0.8693356
445.7583,444.889,0.8692791
445.7583,444.8891,0.8692201
445.7583,444.8891,0.869204
445.7583,444.8892,0.8691148
445.7583,444.8893,0.8690048
445.7583,444.8894,0.8689455
445.7583,444.8894,0.8689359
445.7583,444.8895,0.8688341
445.7583,444.8896,0.8686953
445.7583,444.8897,0.8685712
445.7583,444.8898,0.8685349
445.7583,444.8899,0.8684213
445.7583,444.8899,0.8684036
445.7583,444.8899,0.8683981
445.7583,444.8899,0.8683795
445.7583,444.8899,0.868374
445.7583,444.8899,0.8683695
445.7583,444.8899,0.8683693
445.7583,444.89,0.8683446
445.7583,444.89,0.8682917
445.7583,444.89,0.8682907
445.7583,444.8901,0.8682252
445.7583,444.8901,0.8681709
445.7583,444.8901,0.868164
445.7583,444.8904,0.8679308
445.7583,444.8904,0.8678809
445.7583,444.8904,0.8678561
445.7583,444.8905,0.8677704
445.7583,444.8906,0.8677383
445.7583,444.8906,0.8676746
445.7583,444.8907,0.8676432
445.7583,444.8907,0.867635
445.7583,444.8907,0.8676148
445.7583,444.8908,0.8674998
445.7583,444.8909,0.8674451
445.7583,444.8909,0.8674289
445.7583,444.891,0.8672639
445.7583,444.8911,0.867245
445.7583,444.8911,0.8671801
445.7583,444.8914,0.8668848
445.7583,444.8915,0.866764
445.7583,444.8915,0.8667576
445.7583,444.8917,0.8666419
445.7583,444.8917,0.8666396
445.7583,444.8917,0.8666153
445.7583,444.8917,0.8666142
445.7583,444.8917,0.866604
445.7583,444.8918,0.8665063
445.7583,444.8919,0.8664221
445.7583,444.8919,0.8664152
445.7583,444.8919,0.8663823
445.7583,444.8919,0.8663702
445.7583,444.892,0.8662913
445.7583,444.8921,0.8662352
445.7583,444.8921,0.86621
445.7583,444.8921,0.8661743
445.7583,444.8922,0.8661384
445.7583,444.8923,0.8659943
445.7583,444.8924,0.8658829
445.7583,444.8925,0.8658368
445.7583,444.8925,0.865759
445.7583,444.8927,0.8656473
445.7583,444.8928,0.8655238
445.7583,444.8929,0.8654198
445.7583,444.8929,0.8653962
445.7583,444.8929,0.8653766
445.7583,444.893,0.8653041
445.7583,444.893,0.8652541
445.7583,444.8931,0.8651852
445.7583,444.8933,0.8650251
445.7583,444.8933,0.8649611
445.7583,444.8934,0.8649048
445.7583,444.8939,0.8643625
445.7583,444.8943,0.8639579
445.7583,444.8944,0.8639349
445.7583,444.8946,0.8637403
445.7583,444.8951,0.8632095
445.7583,444.8953,0.8630099
445.7583,444.8955,0.8628092
445.7583,444.8962,0.8621007
445.7583,444.8968,0.8614882
445.7583,444.897,0.861299
445.7583,444.8971,0.8612392
445.7583,444.8972,0.8610858
445.7583,444.8973,0.8609943
445.7583,444.8975,0.8608107
445.7583,444.8976,0.8606523
445.7583,444.9084,0.8498619
445.7583,444.9089,0.8494215
445.7583,444.9145,0.8438388
445.7583,444.9145,0.8438022
445.7583,444.916,0.8422811
445.7583,444.9161,0.8422113
445.7583,444.9162,0.8420886
445.7583,444.9178,0.8404655
