Unique MASCOT (mz),Difference (mz)
302.8401,0.0053951774
302.8401,0.0048600574
302.8401,0.004791117
302.8401,0.0045719467
302.8401,0.0045708494
302.8401,0.0044361963
302.8401,0.0043170893
302.8401,0.0042486579
302.8401,0.0042290322
302.8401,0.0042218623
302.8401,0.0041824054
302.8401,0.004157541
302.8401,0.0041238034
302.8401,0.0039969729
302.8401,0.0039947798
302.8401,0.0038604163
302.8401,0.0038564521
302.8401,0.0038316027
302.8401,0.0038225295
302.8401,0.0038115312
302.8401,0.0037980041
302.8401,0.0037897909
302.8401,0.0037818521
302.8401,0.0037751253
302.8401,0.0035933091
302.8401,0.0035246946
302.8401,0.0034937117
302.8401,0.0034882612
302.8401,0.003483043
302.8401,0.0034773089
302.8401,0.003460553
302.8401,0.0034059518
302.8401,0.0034034478
302.8401,0.0034027531
302.8401,0.0034016196
302.8401,0.0033889421
302.8401,0.0033438668
302.8401,0.0033112298
302.8401,0.0032863831
302.8401,0.0032845693
302.8401,0.0032792456
302.8401,0.0032626455
302.8401,0.0032369657
302.8401,0.0032225072
302.8401,0.0031926918
302.8401,0.0031877622
302.8401,0.0031852204
302.8401,0.003173446
302.8401,0.0031356443
302.8401,0.0031132133
302.8401,0.0030689192
302.8401,0.0030516485
302.8401,0.0030506851
302.8401,0.003041083
302.8401,0.0030378846
302.8401,0.0030038839
302.8401,0.002993624
302.8401,0.0029579218
302.8401,0.0029223554
302.8401,0.0029069946
302.8401,0.0029032815
302.8401,0.0029031285
302.8401,0.0029016579
302.8401,0.0029002385
302.8401,0.002869577
302.8401,0.0028617808
302.8401,0.0028558082
302.8401,0.0028245326
302.8401,0.0028130384
302.8401,0.0028120177
302.8401,0.0027259221
302.8401,0.0027156902
302.8401,0.0027148618
302.8401,0.0027113242
302.8401,0.0026851442
302.8401,0.0026665978
302.8401,0.0025309746
302.8401,0.0025242907
302.8401,0.0025057955
302.8401,0.0024406206
302.8401,0.0024369304
302.8401,0.002256072
302.8401,0.0021964262
302.8401,0.0021778843
302.8401,0.0021557224
302.8401,0.002138853
302.8401,0.0021377761
302.8401,0.0021292088
302.8401,0.0021236155
302.8401,0.0020668292
302.8401,0.0016252462
302.8401,0.0015506419
302.8401,0.0014752079
302.8401,0.0013331458
302.8401,0.0012984971
302.8401,0.00082138559
302.8401,0.0007070647
302.8401,0.0006638322
302.8401,0.00055894543
302.8401,0.00043260065
302.8401,0.00032519608
302.8401,2.818453e-06
302.8401,-0.00041244597
302.8401,-0.00044983325
302.8401,-0.00053424868
302.8401,-0.00056734465
302.8401,-0.00060997127
302.8401,-0.00078463701
302.8401,-0.0010306465
302.8401,-0.001036974
302.8401,-0.0013131964
302.8401,-0.0014862071
302.8401,-0.001650394
302.8401,-0.0016523299
