Unique MASCOT (mz),Difference (mz)
449.2272,0.0008439382
449.2272,0.00084132854
449.2272,0.00081597529
449.2272,0.00079235064
449.2272,0.00079000486
449.2272,0.00075045299
449.2272,0.00072578367
449.2272,0.00068803529
449.2272,0.00064688847
449.2272,0.00061831487
449.2272,0.00058846312
449.2272,0.00058832126
449.2272,0.00056402001
449.2272,0.00055797154
449.2272,0.00051527187
449.2272,0.00050583263
449.2272,0.00038902283
449.2272,0.00038877957
449.2272,0.00036373896
449.2272,0.00034465135
449.2272,0.00033406534
449.2272,0.00029393985
449.2272,0.0002809025
449.2272,0.00026561533
449.2272,0.00022672952
449.2272,0.0001965579
449.2272,0.00015447405
449.2272,0.00015164905
449.2272,0.00015032877
449.2272,0.00014046521
449.2272,0.00011265048
449.2272,0.00011145764
449.2272,9.6077658e-05
449.2272,1.926198e-05
449.2272,-2.6237559e-05
449.2272,-5.161466e-05
449.2272,-0.00011404549
449.2272,-0.00016158416
449.2272,-0.00016575824
449.2272,-0.00017864843
449.2272,-0.00018616705
449.2272,-0.00028496019
449.2272,-0.0003026787
449.2272,-0.00035582249
449.2272,-0.00037736623
449.2272,-0.00038607186
449.2272,-0.00044426153
449.2272,-0.00045477436
449.2272,-0.00049787795
449.2272,-0.00054989131
449.2272,-0.00056787486
449.2272,-0.0006121547
449.2272,-0.00061365278
449.2272,-0.00065141566
449.2272,-0.00068417015
449.2272,-0.00071095295
449.2272,-0.00080374708
449.2272,-0.00085857754
449.2272,-0.00086988443
449.2272,-0.00091766633
449.2272,-0.00092122489
449.2272,-0.00093641931
449.2272,-0.0010452899
449.2272,-0.0010639945
449.2272,-0.001122
449.2272,-0.0013405932
449.2272,-0.0014049985
449.2272,-0.0014092048
449.2272,-0.0014148273
449.2272,-0.0014718385
449.2272,-0.0014913244
449.2272,-0.0016450248
449.2272,-0.0018987576
449.2272,-0.0019925547
453.7556,0.0019878199
453.7556,0.0019782262
453.7556,0.0019720131
453.7556,0.0019234682
453.7556,0.0018992724
453.7556,0.0018806148
453.7556,0.0018736138
453.7556,0.0018595984
453.7556,0.0018031897
453.7556,0.0017702621
453.7556,0.0017057465
453.7556,0.0015475346
453.7556,0.0015231229
453.7556,0.0015191187
453.7556,0.0013365691
453.7556,0.0012511732
453.7556,0.0011607035
453.7556,0.0011292497
453.7556,0.0011222772
453.7556,0.0011193228
453.7556,0.0011107502
453.7556,0.0010493544
453.7556,0.00099367911
453.7556,0.00099139871
453.7556,0.00094960725
453.7556,0.00094644407
453.7556,0.00076191368
453.7556,0.00066949844
453.7556,0.00023205052
453.7556,0.00013806375
453.7556,-0.00025588776
453.7556,-0.00035389602
453.7556,-0.00036416941
453.7556,-0.00037399127
453.7556,-0.00038291437
453.7556,-0.00069243957
453.7556,-0.00086427614
453.7556,-0.00087979141
453.7556,-0.00088393355
453.7556,-0.00091631438
453.7556,-0.001459922
453.7556,-0.0018089701
453.7556,-0.0018113732
453.7556,-0.001884455
453.7556,-0.0019228119
454.558,0.0019376616
454.558,0.0016009995
454.558,0.0014570433
454.558,0.001416731
454.558,0.0013305955
454.558,0.00088386819
454.558,0.00066400748
454.558,0.00050515464
454.558,0.00045957853
454.558,0.0003145643
454.558,0.00023220645
454.558,-0.0001375671
454.558,-0.00022381886
454.558,-0.00077151533
454.558,-0.0013779979
501.2607,0.001983573
501.2607,0.0019681139
501.2607,0.0018614308
501.2607,0.0018563703
501.2607,0.0018546064
501.2607,0.0018468009
501.2607,0.0017027822
501.2607,0.001674064
501.2607,0.0016723505
501.2607,0.0016449381
501.2607,0.0016372565
501.2607,0.0016139532
501.2607,0.0016134716
501.2607,0.0015933435
501.2607,0.0015832909
501.2607,0.0015679982
501.2607,0.0015440902
501.2607,0.0015030779
501.2607,0.0014812555
501.2607,0.0014676922
501.2607,0.0014501708
501.2607,0.0014343057
501.2607,0.0013026664
501.2607,0.0013025283
501.2607,0.0012773835
501.2607,0.0012757387
501.2607,0.0012615351
501.2607,0.0012345351
501.2607,0.0012304798
501.2607,0.0011731279
501.2607,0.0010974115
501.2607,0.0010804511
501.2607,0.0010778816
501.2607,0.001074883
501.2607,0.00091389626
501.2607,0.00082335526
501.2607,0.00080007004
501.2607,0.00075553218
501.2607,0.00067372975
501.2607,0.0006667504
501.2607,0.00065708637
501.2607,0.00059514157
501.2607,0.00053462063
501.2607,0.00051047234
501.2607,0.000505404
501.2607,0.00050143112
501.2607,0.00048456723
501.2607,0.00043090136
501.2607,0.00033241537
501.2607,0.00032813837
501.2607,0.00032055795
501.2607,0.00028165098
501.2607,0.00025912245
501.2607,0.00024341958
501.2607,6.7549809e-05
501.2607,-2.4330646e-05
501.2607,-2.4633251e-05
501.2607,-0.0001404641
501.2607,-0.00016112757
501.2607,-0.00024968152
501.2607,-0.00042763115
501.2607,-0.00043191134
501.2607,-0.00048338322
501.2607,-0.00050417331
501.2607,-0.00054365089
501.2607,-0.00054960208
501.2607,-0.00056425461
501.2607,-0.00061299165
501.2607,-0.00065822742
501.2607,-0.00067093071
501.2607,-0.00069297974
501.2607,-0.00072785488
501.2607,-0.0007533945
501.2607,-0.00082308224
501.2607,-0.0008518236
501.2607,-0.00090726803
501.2607,-0.00096863501
501.2607,-0.00097766391
501.2607,-0.00099821956
501.2607,-0.0010060681
501.2607,-0.0010139967
501.2607,-0.0010805836
501.2607,-0.0011305085
501.2607,-0.0012944288
501.2607,-0.0014109966
501.2607,-0.0014143878
501.2607,-0.001455338
501.2607,-0.001518871
501.2607,-0.0016045923
501.2607,-0.0016135842
501.2607,-0.0016224983
501.2607,-0.001671391
501.2607,-0.0018220178
501.2607,-0.0018221044
501.2607,-0.0019063785
501.2607,-0.0019338087
506.5915,0.0017978037
506.5915,0.0015694072
506.5915,0.0013456753
592.3154,0.0019938091
592.3154,0.0019758274
592.3154,0.0019650418
592.3154,0.001955884
592.3154,0.001954983
592.3154,0.0018455903
592.3154,0.001799125
592.3154,0.0017793838
592.3154,0.0017450821
592.3154,0.001690746
592.3154,0.0016766088
592.3154,0.0016702672
592.3154,0.0016422143
592.3154,0.0016264213
592.3154,0.0015895004
592.3154,0.0015218796
592.3154,0.0015078495
592.3154,0.0014877041
592.3154,0.0014779186
592.3154,0.0014748363
592.3154,0.0014461526
592.3154,0.0013691616
592.3154,0.0013166259
592.3154,0.0012256274
592.3154,0.0012094573
592.3154,0.0011857315
592.3154,0.0011479652
592.3154,0.0010901914
592.3154,0.0010015839
592.3154,0.00098570384
592.3154,0.00096591445
592.3154,0.00096555397
592.3154,0.00095459522
592.3154,0.00092132299
592.3154,0.00091246218
592.3154,0.00084478695
592.3154,0.00079639802
592.3154,0.00078846773
592.3154,0.00078726338
592.3154,0.00076342343
592.3154,0.00073420595
592.3154,0.00068111114
592.3154,0.000593536
592.3154,0.00055319817
592.3154,0.00052256469
592.3154,0.00051103616
592.3154,0.00049268986
592.3154,0.00039684875
592.3154,0.0002456116
592.3154,0.0002186298
592.3154,0.00019051008
592.3154,0.00013380485
592.3154,0.00011990033
592.3154,8.3033803e-05
592.3154,-7.504875e-06
592.3154,-2.8888448e-05
592.3154,-7.6006247e-05
592.3154,-0.00014865761
592.3154,-0.00017797032
592.3154,-0.00020197637
592.3154,-0.00023008534
592.3154,-0.00028330535
592.3154,-0.00033262812
592.3154,-0.00034491815
592.3154,-0.00039955949
592.3154,-0.00042804111
592.3154,-0.00051516924
592.3154,-0.00053841171
592.3154,-0.00055253627
592.3154,-0.00071567592
592.3154,-0.00071990512
592.3154,-0.00074053339
592.3154,-0.00085525466
592.3154,-0.0010232155
592.3154,-0.0010694887
592.3154,-0.0010774046
592.3154,-0.0012283425
592.3154,-0.0012759283
592.3154,-0.0013053925
592.3154,-0.001313638
592.3154,-0.001449392
592.3154,-0.0016590329
592.3154,-0.0017857622
592.3154,-0.0019241914
592.3154,-0.0019637548
592.3154,-0.0019720034
597.6479,0.0019975484
597.6479,0.0018580907
597.6479,0.0018442003
597.6479,0.0017182739
597.6479,0.0016866828
597.6479,0.0016506453
597.6479,0.0016460331
597.6479,0.0016297806
597.6479,0.0015978248
597.6479,0.0014686892
597.6479,0.0014481542
597.6479,0.001390165
597.6479,0.0013802102
597.6479,0.0012428413
597.6479,0.0012015527
597.6479,0.0011010589
597.6479,0.0010748071
597.6479,0.0010448218
597.6479,0.000933419
597.6479,0.00086935888
597.6479,0.00086610105
597.6479,0.00076920588
597.6479,0.00053930203
597.6479,0.00042372907
597.6479,0.00036285083
597.6479,0.00033254233
597.6479,0.00030585911
597.6479,0.00026278756
597.6479,0.00019452795
597.6479,9.9745719e-05
597.6479,5.983039e-05
597.6479,-2.2125421e-05
597.6479,-4.7368797e-05
597.6479,-0.00012938704
597.6479,-0.00015599305
597.6479,-0.000214605
597.6479,-0.00024602817
597.6479,-0.00054635533
597.6479,-0.00067958245
597.6479,-0.00078925172
597.6479,-0.00079973481
597.6479,-0.00082861777
597.6479,-0.00088246947
597.6479,-0.001055746
597.6479,-0.0011253583
597.6479,-0.0012144264
597.6479,-0.0012410885
597.6479,-0.00128167
597.6479,-0.0012828893
597.6479,-0.0013223458
597.6479,-0.0013326431
597.6479,-0.0013889667
597.6479,-0.0014018242
597.6479,-0.0014061899
597.6479,-0.0014280043
597.6479,-0.0015657106
597.6479,-0.0015954749
597.6479,-0.0016073301
597.6479,-0.001741568
597.6479,-0.0017829983
597.6479,-0.0018867155
597.6479,-0.0018995556
597.6479,-0.0019739191
597.6479,-0.0019779982
597.6479,-0.0019952452
602.9771,0.0019860219
602.9771,0.0019826858
602.9771,0.001978463
602.9771,0.0019771927
602.9771,0.0019333226
602.9771,0.0019196298
602.9771,0.0018914393
602.9771,0.0018362478
602.9771,0.0017707116
602.9771,0.0017292426
602.9771,0.0017118622
602.9771,0.0016786788
602.9771,0.0016771197
602.9771,0.0015955726
602.9771,0.0015864023
602.9771,0.0015382116
602.9771,0.0014162454
602.9771,0.0013921402
602.9771,0.0013917469
602.9771,0.0013730293
602.9771,0.0013692367
602.9771,0.0013500563
602.9771,0.0013484816
602.9771,0.001295353
602.9771,0.0012670308
602.9771,0.0012441112
602.9771,0.0012430256
602.9771,0.0011883878
602.9771,0.0011744943
602.9771,0.0011693933
602.9771,0.0011675009
602.9771,0.0010658015
602.9771,0.0010338434
602.9771,0.0010150809
602.9771,0.0010134702
602.9771,0.0010072917
602.9771,0.00099312573
602.9771,0.00099041921
602.9771,0.00097199785
602.9771,0.00093475499
602.9771,0.00085395533
602.9771,0.00081621701
602.9771,0.00079643253
602.9771,0.00077463405
602.9771,0.00076564068
602.9771,0.00074858954
602.9771,0.00069474743
602.9771,0.00069469832
602.9771,0.00068518454
602.9771,0.00059110425
602.9771,0.00059056797
602.9771,0.00057830302
602.9771,0.00052018197
602.9771,0.000516137
602.9771,0.00043600616
602.9771,0.00041528186
602.9771,0.00036002293
602.9771,0.00029044923
602.9771,0.00027135112
602.9771,0.00021684617
602.9771,0.00020068337
602.9771,0.00019927364
602.9771,0.00017277802
602.9771,0.00010132557
602.9771,8.0054044e-05
602.9771,1.2024852e-05
602.9771,-3.17174e-07
602.9771,-6.195003e-06
602.9771,-9.2662906e-05
602.9771,-0.00013591304
602.9771,-0.00013943714
602.9771,-0.00025575359
602.9771,-0.00025766261
602.9771,-0.00026299125
602.9771,-0.00029744706
602.9771,-0.00029864459
602.9771,-0.0003471397
602.9771,-0.00035044836
602.9771,-0.00036013344
602.9771,-0.00043900834
602.9771,-0.00045846749
602.9771,-0.00047126807
602.9771,-0.00047771409
602.9771,-0.00055330924
602.9771,-0.00057173299
602.9771,-0.00064578771
602.9771,-0.00065452701
602.9771,-0.00069831076
602.9771,-0.00072978492
602.9771,-0.00076408013
602.9771,-0.00080155374
602.9771,-0.00084285108
602.9771,-0.0010073881
602.9771,-0.0010256337
602.9771,-0.0011508374
602.9771,-0.0011518015
602.9771,-0.001179651
602.9771,-0.0012577738
602.9771,-0.0012943441
602.9771,-0.0013805072
602.9771,-0.0014100032
602.9771,-0.0014537671
602.9771,-0.0015436849
602.9771,-0.0015857883
602.9771,-0.0016066333
602.9771,-0.0017445872
602.9771,-0.001768238
602.9771,-0.0017956757
602.9771,-0.0018323151
602.9771,-0.0018605732
602.9771,-0.0019294325
602.9771,-0.0019294944
602.9771,-0.001929788
602.9771,-0.0019977394
640.3459,-0.0013446496
640.3459,-0.0017445617
657.8271,0.0019893243
657.8271,0.0019669491
657.8271,0.0019185219
657.8271,0.0019093264
657.8271,0.0018779107
657.8271,0.0018249052
657.8271,0.0017822083
657.8271,0.0017469277
657.8271,0.0016800077
657.8271,0.0016698534
657.8271,0.0016600012
657.8271,0.001635919
657.8271,0.0016192075
657.8271,0.0015894086
657.8271,0.0015797636
657.8271,0.0015506694
657.8271,0.0015220208
657.8271,0.0014828484
657.8271,0.0014648184
657.8271,0.0014435729
657.8271,0.0014431003
657.8271,0.001428264
657.8271,0.0014277546
657.8271,0.0014250605
657.8271,0.0013884775
657.8271,0.0013347294
657.8271,0.0012619033
657.8271,0.0012318607
657.8271,0.0012204272
657.8271,0.0012113268
657.8271,0.0012001857
657.8271,0.0011713304
657.8271,0.0011676681
657.8271,0.0011518716
657.8271,0.0011315279
657.8271,0.0011014318
657.8271,0.0010991448
657.8271,0.0010925683
657.8271,0.001091959
657.8271,0.0010614447
657.8271,0.0010547327
