Unique RT (mins)
5.3939
5.3719
5.5047
5.5136
7.0965
7.1114
7.2129
7.2254
7.3185
7.3346
7.4498
7.4716
7.5521
7.5743
7.6529
7.6751
7.7603
7.784
7.8764
7.9007
6.5012
6.5111
6.7686
6.8583
6.8682
7.0302
