302.8401,3.0291,5,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
302.8401,302.9076,-0.06755,3.029067,2.796317,0.23275
302.8401,302.9127,-0.07257,3.029067,2.806767,0.2223
302.8401,302.9133,-0.07321,3.029067,2.81095,0.2181167
302.8401,302.9285,-0.08843,3.029067,2.802583,0.2264833
302.8401,302.9286,-0.08846,3.029067,2.775417,0.25365
,,,,,
302.8401,3.0392,5,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
302.8401,302.9076,-0.06755,3.039183,2.796317,0.2428667
302.8401,302.9127,-0.07257,3.039183,2.806767,0.2324167
302.8401,302.9133,-0.07321,3.039183,2.81095,0.2282333
302.8401,302.9285,-0.08843,3.039183,2.802583,0.2366
302.8401,302.9286,-0.08846,3.039183,2.775417,0.2637667
,,,,,
303.1841,2.6263,49,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
303.1841,303.1671,0.01699,2.626267,3.124467,-0.4982
303.1841,303.1693,0.01478,2.626267,3.126567,-0.5003
303.1841,303.1695,0.0146,2.626267,3.114017,-0.48775
303.1841,303.1701,0.01395,2.626267,3.109833,-0.4835667
303.1841,303.1707,0.01345,2.626267,3.137017,-0.51075
303.1841,303.1711,0.01304,2.626267,3.093117,-0.46685
303.1841,303.1712,0.01293,2.626267,3.0973,-0.4710333
303.1841,303.1712,0.01292,2.626267,3.095217,-0.46895
303.1841,303.1712,0.0129,2.626267,3.105667,-0.4794
303.1841,303.1712,0.0129,2.626267,3.143283,-0.5170167
303.1841,303.1712,0.01285,2.626267,3.08685,-0.4605833
303.1841,303.1713,0.0128,2.626267,3.101483,-0.4752167
303.1841,303.1713,0.01279,2.626267,3.074317,-0.44805
303.1841,303.1715,0.01264,2.626267,3.088933,-0.4626667
303.1841,303.1716,0.01252,2.626267,3.059683,-0.4334167
303.1841,303.1716,0.01249,2.626267,3.06595,-0.4396833
303.1841,303.1716,0.01247,2.626267,3.10775,-0.4814833
303.1841,303.1717,0.01236,2.626267,3.0764,-0.4501333
303.1841,303.1718,0.01234,2.626267,3.06385,-0.4375833
303.1841,303.1718,0.01231,2.626267,3.099383,-0.4731167
303.1841,303.1718,0.01229,2.626267,3.080583,-0.4543167
303.1841,303.1719,0.01225,2.626267,3.078483,-0.4522167
303.1841,303.1719,0.0122,2.626267,3.12865,-0.5023833
303.1841,303.172,0.01214,2.626267,3.084767,-0.4585
303.1841,303.172,0.01209,2.626267,3.070133,-0.4438667
303.1841,303.172,0.01209,2.626267,3.103567,-0.4773
303.1841,303.172,0.01206,2.626267,3.072217,-0.44595
303.1841,303.1721,0.01205,2.626267,3.051317,-0.42505
303.1841,303.1721,0.01205,2.626267,3.057583,-0.4313167
303.1841,303.1722,0.01194,2.626267,3.1182,-0.4919333
303.1841,303.1722,0.01188,2.626267,3.111933,-0.4856667
303.1841,303.1723,0.01185,2.626267,3.047133,-0.4208667
303.1841,303.1723,0.01182,2.626267,3.068033,-0.4417667
303.1841,303.1723,0.0118,2.626267,3.116117,-0.48985
303.1841,303.1723,0.01176,2.626267,3.0555,-0.4292333
303.1841,303.1728,0.01132,2.626267,3.049233,-0.4229667
303.1841,303.1728,0.01128,2.626267,3.030417,-0.40415
303.1841,303.1729,0.01124,2.626267,3.082667,-0.4564
303.1841,303.1729,0.01121,2.626267,3.04295,-0.4166833
303.1841,303.1729,0.0112,2.626267,3.0346,-0.4083333
303.1841,303.173,0.01111,2.626267,3.02415,-0.3978833
303.1841,303.173,0.01111,2.626267,3.091033,-0.4647667
303.1841,303.1732,0.01086,2.626267,3.0325,-0.4062333
303.1841,303.1734,0.01069,2.626267,3.038783,-0.4125167
303.1841,303.1735,0.01062,2.626267,3.0534,-0.4271333
303.1841,303.1735,0.01056,2.626267,3.04505,-0.4187833
303.1841,303.1736,0.01048,2.626267,3.061767,-0.4355
303.1841,303.1738,0.01029,2.626267,3.1203,-0.4940333
303.1841,303.2707,-0.08656,2.626267,2.829767,-0.2035
,,,,,
303.1841,2.6397,49,,,
Mascot MZ,MassHunter MZ,MZ Difference,Mascot RT,MassHunter RT,RT Difference
303.1841,303.1671,0.01699,2.6397,3.124467,-0.4847667
303.1841,303.1693,0.01478,2.6397,3.126567,-0.4868667
303.1841,303.1695,0.0146,2.6397,3.114017,-0.4743167
303.1841,303.1701,0.01395,2.6397,3.109833,-0.4701333
303.1841,303.1707,0.01345,2.6397,3.137017,-0.4973167
303.1841,303.1711,0.01304,2.6397,3.093117,-0.4534167
