Unique MASCOT RT (mins),Difference RT (mins)
3.0291,0.055083
3.0291,0.0509
3.0291,-0.0975
3.0291,0.02165
3.0291,0.067633
3.0291,0.025817
3.0291,-0.099583
3.0291,-0.082867
3.0291,-0.0766
3.0291,0.04045
3.0291,-0.06405
3.0291,0.027917
3.0291,-0.072417
3.0291,-0.018067
3.0291,-0.020167
3.0291,0.0070167
3.0291,0.053
3.0291,-0.02225
3.0291,-0.059867
3.0291,-0.036883
3.0291,0.00073333
3.0291,-0.068233
3.0291,0.075983
3.0291,-0.0954
3.0291,0.015367
3.0291,0.0112
3.0291,-0.00135
3.0291,-0.026433
3.0291,-0.051517
3.0291,-0.08495
3.0291,-0.089133
3.0291,-0.0076167
3.0291,-0.0557
3.0291,0.0049167
3.0291,-0.070317
3.0291,-0.013883
3.0291,-0.0034333
3.0291,0.0321
3.0291,0.0091
3.0291,-0.04525
3.0291,0.0739
3.0291,-0.024333
3.0291,-0.034783
3.0291,-0.0327
3.0291,0.0028333
3.0291,-0.0097167
3.0291,-0.038967
3.0291,-0.08705
3.0291,-0.0118
3.0291,-0.061967
3.0291,0.023733
3.0291,-0.028517
3.0291,-0.04315
3.0291,-0.0536
3.0291,-0.078683
3.0291,0.017467
3.0291,-0.049417
3.0291,-0.041067
3.0291,-0.015983
3.0291,-0.080767
3.0291,-0.057783
3.0291,0.044633
3.0291,0.013283
3.0291,-0.0745
3.0291,-0.093317
3.0291,-0.047333
3.0291,-0.030617
3.0291,-0.0055333
3.0291,-0.06615
3.0291,0.038367
3.0291,0.046717
3.0291,0.04255
3.0291,0.059267
3.0291,0.01955
3.0291,-0.091233
3.0291,0.036267
3.0291,0.048817
3.0291,0.065533
3.0291,0.03
3.0291,0.034183
3.0291,0.0718
3.0291,0.08435
3.0291,0.06345
3.0291,0.088533
3.0291,0.06135
3.0291,0.080167
3.0291,0.08225
3.0291,0.078083
3.0392,-0.09365
3.0392,0.0652
3.0392,0.061017
3.0392,-0.087383
3.0392,0.031767
3.0392,0.07775
3.0392,0.035933
3.0392,-0.089467
3.0392,-0.095733
3.0392,-0.07275
3.0392,-0.097833
3.0392,-0.066483
3.0392,0.050567
3.0392,-0.053933
3.0392,0.038033
3.0392,-0.0623
3.0392,-0.00795
3.0392,-0.01005
3.0392,0.017133
3.0392,0.063117
3.0392,-0.012133
3.0392,-0.04975
3.0392,-0.026767
3.0392,0.01085
3.0392,-0.058117
3.0392,0.0861
3.0392,-0.085283
3.0392,0.025483
3.0392,0.021317
3.0392,0.0087667
3.0392,-0.016317
3.0392,-0.0414
3.0392,-0.074833
3.0392,-0.079017
3.0392,0.0025
3.0392,-0.045583
3.0392,0.015033
3.0392,-0.0602
3.0392,-0.0037667
3.0392,0.0066833
3.0392,0.042217
3.0392,0.019217
3.0392,-0.035133
3.0392,0.084017
3.0392,-0.014217
3.0392,-0.024667
3.0392,-0.022583
3.0392,0.01295
3.0392,0.0004
3.0392,-0.02885
3.0392,-0.076933
3.0392,-0.0016833
3.0392,-0.05185
3.0392,0.03385
3.0392,-0.0184
3.0392,-0.033033
3.0392,-0.043483
3.0392,-0.068567
3.0392,0.027583
3.0392,-0.0393
3.0392,-0.03095
3.0392,-0.0058667
3.0392,-0.07065
3.0392,-0.047667
3.0392,0.05475
3.0392,0.0234
3.0392,-0.064383
3.0392,-0.0832
3.0392,-0.037217
3.0392,-0.0205
3.0392,0.0045833
3.0392,-0.056033
3.0392,0.048483
3.0392,0.056833
3.0392,0.052667
3.0392,0.069383
3.0392,0.029667
3.0392,-0.081117
3.0392,0.046383
3.0392,0.058933
3.0392,0.07565
3.0392,0.040117
3.0392,0.0443
3.0392,0.081917
3.0392,0.094467
3.0392,0.073567
3.0392,0.09865
3.0392,0.071467
3.0392,0.090283
3.0392,0.092367
3.0392,0.0882
2.6263,0.036867
2.6263,0.045233
2.6263,0.026417
2.6263,-0.053
2.6263,-0.057183
2.6263,0.018067
2.6263,0.013883
2.6263,-0.04255
2.6263,0.0327
2.6263,-0.02165
2.6263,-0.0551
2.6263,-0.048817
2.6263,0.015967
2.6263,0.0034333
2.6263,-0.0342
2.6263,-0.090633
2.6263,-0.030017
2.6263,-0.019567
2.6263,-0.080183
2.6263,-0.027917
2.6263,-0.015383
2.6263,-0.0049333
2.6263,0.038967
2.6263,-0.00075
2.6263,-0.040467
2.6263,-0.04465
2.6263,-0.025833
2.6263,-0.038367
2.6263,0.0055167
2.6263,-0.046733
2.6263,0.02015
2.6263,-0.036283
2.6263,0.0306
2.6263,0.011783
2.6263,-0.013283
2.6263,0.0076167
2.6263,-0.059267
2.6263,-0.06555
2.6263,-0.02375
2.6263,0.0097
2.6263,-0.0112
2.6263,-0.069733
2.6263,0.0013333
2.6263,-0.0091167
2.6263,-0.08645
2.6263,0.024333
2.6263,-0.0028333
2.6263,-0.071817
2.6263,-0.0321
2.6263,-0.06345
2.6263,-0.0070167
2.6263,-0.050917
2.6263,0.04315
2.6263,-0.017467
2.6263,-0.082267
2.6263,0.022233
2.6263,-0.061367
2.6263,0.04105
2.6263,-0.088533
2.6263,0.059867
2.6263,-0.076
2.6263,-0.078083
2.6263,-0.0969
2.6263,0.034783
2.6263,-0.067633
2.6263,0.028517
