Mascot_mz,MassHunter_mz,Difference
696.8502,696.8501,9.776837e-05
696.8502,696.8501,9.296381e-05
696.8502,696.8502,4.454041e-05
696.8502,696.8502,2.244308e-05
696.8502,696.8502,-3.413557e-05
696.8502,696.8503,-7.068674e-05
696.8502,696.8503,-7.625971e-05
,,
720.1493,0,
Mascot_mz,MassHunter_mz,Difference
No match found,,
,,
724.148,0,
Mascot_mz,MassHunter_mz,Difference
No match found,,
,,
849.7681,2,
Mascot_mz,MassHunter_mz,Difference
849.7681,849.7681,-1.543762e-06
849.7681,849.7682,-9.359537e-05
,,
887.4544,19,
Mascot_mz,MassHunter_mz,Difference
887.4544,887.4543,9.562274e-05
887.4544,887.4543,8.194128e-05
887.4544,887.4543,8.144709e-05
887.4544,887.4543,7.556379e-05
887.4544,887.4543,5.765458e-05
887.4544,887.4544,4.405354e-05
887.4544,887.4544,4.14507e-05
887.4544,887.4544,3.603587e-05
887.4544,887.4544,3.543482e-05
887.4544,887.4544,2.508388e-05
887.4544,887.4544,1.407586e-05
887.4544,887.4544,-1.013637e-05
887.4544,887.4544,-1.549421e-05
887.4544,887.4544,-2.606688e-05
887.4544,887.4545,-7.128735e-05
887.4544,887.4545,-7.448892e-05
887.4544,887.4545,-7.759366e-05
887.4544,887.4545,-7.991474e-05
887.4544,887.4545,-9.549604e-05
,,
887.9689,1,
Mascot_mz,MassHunter_mz,Difference
887.9689,887.9689,-3.076289e-05
,,
895.9665,4,
Mascot_mz,MassHunter_mz,Difference
895.9665,895.9664,5.748818e-05
895.9665,895.9665,3.889271e-05
895.9665,895.9665,-1.463957e-06
895.9665,895.9665,-2.460237e-05
,,
903.9606,0,
Mascot_mz,MassHunter_mz,Difference
No match found,,
,,
917.1639,0,
Mascot_mz,MassHunter_mz,Difference
No match found,,
,,
922.4949,0,
Mascot_mz,MassHunter_mz,Difference
No match found,,
,,
923.4644,1,
Mascot_mz,MassHunter_mz,Difference
923.4644,923.4644,-2.858432e-05
,,
928.4634,5,
Mascot_mz,MassHunter_mz,Difference
928.4634,928.4633,7.391451e-05
928.4634,928.4634,1.361483e-05
928.4634,928.4634,-8.288585e-06
928.4634,928.4635,-7.338612e-05
928.4634,928.4635,-7.720541e-05
,,
928.7964,1,
Mascot_mz,MassHunter_mz,Difference
928.7964,928.7964,-1.927788e-06
,,
934.1269,3,
Mascot_mz,MassHunter_mz,Difference
934.1269,934.1268,6.162907e-05
934.1269,934.1269,1.601376e-05
934.1269,934.127,-5.465254e-05
,,
939.4606,2,
Mascot_mz,MassHunter_mz,Difference
939.4606,939.4605,9.999572e-05
939.4606,939.4606,1.849183e-06
,,
944.7914,1,
Mascot_mz,MassHunter_mz,Difference
944.7914,944.7915,-7.554054e-05
,,
959.8628,1,
Mascot_mz,MassHunter_mz,Difference
959.8628,959.8627,9.262372e-05
,,
965.1928,0,
Mascot_mz,MassHunter_mz,Difference
No match found,,
,,
1031.4791,9,
Mascot_mz,MassHunter_mz,Difference
1031.4791,1031.479,6.575902e-05
1031.4791,1031.4791,4.376523e-05
1031.4791,1031.4791,8.94497e-06
1031.4791,1031.4791,5.4444099e-06
1031.4791,1031.4791,-5.2882299e-06
1031.4791,1031.4791,-1.668641e-05
1031.4791,1031.4792,-7.30433e-05
1031.4791,1031.4792,-9.607336e-05
1031.4791,1031.4792,-9.713065e-05
,,
1031.9947,0,
Mascot_mz,MassHunter_mz,Difference
No match found,,
,,
1032.4882,6,
Mascot_mz,MassHunter_mz,Difference
1032.4882,1032.4881,8.430712e-05
1032.4882,1032.4882,3.932218e-05
1032.4882,1032.4882,3.539425e-05
1032.4882,1032.4882,1.649e-05
1032.4882,1032.4882,-2.117429e-05
1032.4882,1032.4883,-8.128755e-05
,,
1039.9913,0,
Mascot_mz,MassHunter_mz,Difference
No match found,,
,,
1208.0885,0,
Mascot_mz,MassHunter_mz,Difference
No match found,,
,,
1375.2418,0,
Mascot_mz,MassHunter_mz,Difference
No match found,,
,,
1384.6908,0,
Mascot_mz,MassHunter_mz,Difference
No match found,,
,,
1392.6883,0,
Mascot_mz,MassHunter_mz,Difference
No match found,,
,,
,
Summarizing Match Data,
Matched Mzs,Count
302.8401,1
303.1841,6
443.8948,1
445.7583,4
449.2272,4
501.2607,3
592.3154,4
597.6479,4
602.9771,5
657.8271,11
665.3385,2
673.3357,6
681.3238,12
681.3327,12
688.1253,1
688.3333,6
688.6616,12
692.8512,1
693.6655,2
696.8502,7
849.7681,2
887.4544,19
887.9689,1
895.9665,4
923.4644,1
928.4634,5
928.7964,1
934.1269,3
939.4606,2
944.7914,1
959.8628,1
1031.4791,9
1032.4882,6
,
No Matched Mzs Found,Count
443.5662,0
443.9068,0
453.7556,0
454.558,0
506.5915,0
640.3459,0
665.3485,0
665.3566,0
665.366,0
665.3816,0
720.1493,0
724.148,0
903.9606,0
917.1639,0
922.4949,0
965.1928,0
1031.9947,0
1039.9913,0
1208.0885,0
1375.2418,0
1384.6908,0
1392.6883,0
