Unique MASCOT RT (mins),Difference RT (mins)
6.3522,-0.008
6.3522,0.00036667
6.3522,-0.0017333
6.3522,-0.0059167
6.3522,0.0045333
6.3522,-0.0038167
6.3522,0.00245
6.3671,0.00695
6.3671,-0.0097667
6.3671,0.0090333
6.3671,-0.0076833
6.3671,-0.0035
6.3671,0.00068333
6.3671,-0.0056
6.3671,0.0027667
6.3671,-0.0014167
6.3671,0.00485
5.3627,0.00165
5.3627,-0.0025333
5.3627,-0.0088
5.3627,-0.00043333
5.3627,-0.0046167
5.3627,0.0079333
5.3627,-0.0067
5.3627,0.0058333
5.3627,0.00375
5.3711,0.0058667
5.3711,-0.0004
5.3711,0.0079667
5.3711,0.0037833
5.3711,-0.0066667
5.3711,-0.0024833
5.3711,-0.0045833
5.3711,0.0017
5.3711,-0.00875
5.4658,-0.0060333
5.4658,-0.0081167
5.4658,-0.00185
5.4658,0.0065167
5.4658,0.00023333
5.4658,0.0044167
5.4658,0.0023333
5.4658,-0.00395
5.4658,0.0086
5.4745,0.0026833
5.4745,-0.0077667
5.4745,0.0006
5.4745,-0.00985
5.4745,0.0068667
5.4745,-0.0015
5.4745,-0.0035833
5.4745,0.00895
5.4745,-0.0056833
5.4745,0.0047667
5.648,0.00058333
5.648,0.0026667
5.648,0.00685
5.648,-0.0036
5.648,-0.0098667
5.648,0.0047667
5.648,-0.0077833
5.648,-0.0015167
5.648,-0.0056833
5.648,0.0089333
5.8382,0.00685
5.8382,-0.0077833
5.8382,-0.0098833
5.8382,0.0089333
5.8382,0.00475
5.8382,-0.0057
5.8382,-0.0015167
5.8382,0.00058333
5.8382,0.0026667
5.8382,-0.0036
5.9428,-0.0055833
5.9428,-0.0014
5.9428,-0.0076833
5.9428,0.0027667
5.9428,0.00905
5.9428,-0.0097667
5.9428,0.00695
5.9428,0.0048667
5.9428,0.00068333
5.9428,-0.0035
5.9547,0.0063167
5.9547,-0.0062333
5.9547,-0.00205
5.9547,0.0042167
5.9547,-0.0041333
5.9547,0.0021333
5.9547,-0.0083167
5.9547,0.0084
5.9547,5e-05
4.876,-0.0022
4.876,-0.00011667
4.876,0.0040667
4.876,-0.0084667
4.876,0.00615
4.876,-0.0043
4.876,-0.0063833
4.876,0.00825
4.876,0.0019833
4.8856,0.0074
4.8856,-0.0093333
4.8856,0.0094833
4.8856,-0.00096667
4.8856,0.0011333
4.8856,-0.00305
4.8856,0.0053
4.8856,-0.0072333
4.8856,-0.00515
4.8856,0.0032167
5.3396,-0.00046667
5.3396,0.0058167
5.3396,0.0016333
5.3396,0.0099833
5.3396,-0.00255
5.3396,0.0037167
5.3396,-0.0067333
5.3396,0.0079
5.3396,-0.0088167
5.3396,-0.0046333
5.3501,-0.00045
5.3501,-0.0046167
5.3501,-0.0025333
5.3501,0.0079167
5.3501,0.0037333
5.3501,0.00165
5.3501,-0.0088
5.3501,-0.0067167
5.3501,0.0058333
5.5607,-0.0093167
5.5607,-0.00305
5.5607,0.0074
5.5607,0.0011333
5.5607,0.0032167
5.5607,-0.0051333
5.5607,0.0053167
5.5607,0.0095
5.5607,-0.00095
5.5607,-0.0072333
5.5718,-0.0066667
5.5718,0.0017
5.5718,0.0079667
5.5718,-0.0045667
5.5718,-0.00875
5.5718,-0.0024833
5.5718,0.0058833
5.5718,-0.0004
5.5718,0.0037833
5.8345,-0.0010333
5.8345,-0.0094
5.8345,0.00315
5.8345,0.00105
5.8345,0.0073333
5.8345,0.0094167
5.8345,-0.0031167
5.8345,0.0052333
5.8345,-0.0052167
5.8345,-0.0073
5.1251,0.0086667
5.1251,0.0044833
5.1251,0.0065833
5.1251,0.0024
5.1251,0.0003
5.1251,-0.0017833
5.1251,-0.0038667
5.1251,-0.0059667
5.1251,-0.00805
5.1372,0.0082
5.1372,0.0061
5.1372,0.0040167
5.1372,-0.00016667
5.1372,0.0019167
5.1372,-0.00225
5.1372,-0.00435
5.1372,-0.0064333
5.1372,-0.0085333
5.5861,0.00975
5.5861,-0.0028
5.5861,-0.0048833
5.5861,-0.0007
5.5861,-0.0090667
5.5861,0.0034667
5.5861,0.0013833
5.5861,0.0055667
5.5861,0.00765
5.5861,-0.0069833
5.6193,-0.00305
5.6193,-0.00096667
5.6193,-0.0072333
5.6193,0.0053
5.6193,0.0094833
5.6193,-0.00515
5.6193,0.0032167
5.6193,0.0011167
5.6193,-0.0093333
5.6193,0.0074
5.7183,-0.0022333
5.7183,0.0061333
5.7183,0.00195
5.7183,-0.0085
5.7183,0.0082167
5.7183,0.00405
5.7183,-0.0064
5.7183,-0.00013333
5.7183,-0.0043167
5.7317,-0.00975
5.7317,0.0048833
5.7317,0.0028
5.7317,-0.0013833
5.7317,-0.0055667
5.7317,0.0069833
5.7317,-0.0034667
5.7317,-0.00765
5.7317,0.0007
5.7317,0.0090667
5.8362,0.0007
5.8362,-0.0055667
5.8362,0.0027833
5.8362,0.0090667
5.8362,-0.00975
5.8362,0.0048833
5.8362,-0.0076667
5.8362,0.0069667
5.8362,-0.0013833
5.8362,-0.0034833
5.8476,-0.0066833
5.8476,0.0058667
5.8476,-0.0087667
5.8476,-0.0025
5.8476,0.0016833
5.8476,0.0037667
5.8476,-0.00041667
5.8476,-0.0045833
5.8476,0.00795
7.6862,0.00075
7.6862,0.0049333
7.6862,0.0091
7.6862,-0.0034333
7.6862,0.0070167
7.6862,-0.0076167
7.6862,0.0028333
7.6862,-0.00135
7.7896,-0.00035
7.7896,0.00175
7.7896,0.0038333
7.7896,-0.0045333
7.7896,0.0059167
7.7896,-0.0087
7.7896,-0.0066167
7.7896,0.0080167
7.8875,-0.0027333
7.8875,-0.00065
7.8875,0.0077167
7.8875,0.0098
7.8875,0.0035333
7.8875,0.0056167
7.8875,-0.0090167
7.8875,-0.0048333
7.8875,-0.0069167
7.9592,-0.0021333
7.9592,-0.0084167
7.9592,-5e-05
7.9592,0.0083167
7.9592,-0.0063167
7.9592,0.00205
5.2324,0.0030167
5.2324,0.0072
5.2324,0.00093333
5.2324,0.0051
5.2324,0.0092833
5.2324,-0.0011667
5.2324,-0.00535
5.2324,-0.00325
5.2324,-0.0074333
5.2324,-0.0095167
5.2423,0.0087833
5.2423,0.0046
5.2423,0.0067
5.2423,0.0025167
5.2423,0.00043333
5.2784,-0.0073667
5.2784,0.0030833
5.2784,0.0072667
5.2784,-0.0031833
5.2784,0.00935
5.2784,-0.00945
5.2784,-0.0011
5.2784,-0.0052833
5.2784,0.0051667
5.2784,0.001
5.2893,-0.00695
5.2893,-0.0048667
5.2893,-0.0027667
5.2893,-0.00068333
5.2893,0.0035
5.2893,-0.0090333
5.2893,0.0076833
5.2893,0.0014167
5.2893,0.0097667
5.2893,0.0055833
5.3003,-0.0084667
5.3003,-0.0043
5.3003,-0.0063833
5.3003,0.0040667
5.3003,-0.0022
5.3003,0.00615
5.3003,0.00825
5.3003,-0.00011667
5.3003,0.0019833
4.1786,0.0047833
4.1786,-0.0056667
4.1786,0.0006
4.1786,0.0027
4.1786,0.0068667
4.1786,-0.00985
4.1786,-0.0035833
4.1786,-0.00775
4.1786,0.0089667
4.1786,-0.0014833
4.1874,0.0031333
4.1874,0.0094
4.1874,-0.00105
4.1874,0.0052167
4.1874,-0.0073167
4.1874,0.00105
4.1874,-0.0031333
4.1874,-0.0094167
4.1874,-0.0052333
4.1874,0.0073167
4.2921,-0.00081667
4.2921,-0.0071
4.2921,-0.0029167
4.2921,-0.005
4.2921,0.0075333
4.2921,0.00545
4.2921,0.00335
4.2921,0.0012667
4.2921,0.0096333
4.2921,-0.0091833
4.3127,0.001
4.3127,-0.0010833
4.3127,-0.0031833
4.3127,-0.0073667
4.3127,-0.0052667
4.3127,0.0051833
4.3127,-0.00945
4.3127,0.0030833
4.3127,0.0093667
4.3127,0.0072667
4.5451,-0.0070167
4.5451,-0.0091
4.5451,0.0034333
4.5451,-0.0049333
4.5451,0.0076167
4.5451,-0.0028333
4.5451,0.0097
4.5451,-0.00075
4.5451,0.00135
4.5451,0.0055167
4.5535,0.0014167
4.5535,-0.00066667
4.5535,-0.0027667
4.5535,0.0035
4.5535,-0.00485
4.5535,-0.0090333
4.5535,0.0056
4.5535,0.0076833
4.5535,0.0097833
4.5535,-0.00695
4.7058,0.0011333
4.7058,0.0095
4.7058,0.0074
4.7058,0.0053167
4.7058,-0.00095
4.7058,-0.0051333
4.7058,-0.0093167
4.7058,0.0032167
4.7058,-0.0072333
4.7058,-0.00305
4.7141,0.0094667
4.7141,0.0073833
4.7141,0.0032
4.7141,-0.00098333
4.7141,0.0011
4.7141,0.0052833
4.7141,-0.0030667
4.7141,-0.0051667
4.7141,-0.00725
4.7141,-0.00935
4.816,-0.00575
4.816,-0.00785
4.816,-0.0099333
4.816,-0.0036667
4.816,0.0026
4.816,0.00051667
4.816,-0.0015667
4.816,0.0067833
4.816,0.0047
4.816,0.0088833
4.827,-0.0093833
4.827,-0.0052
4.827,-0.0073
4.827,-0.0010167
4.827,0.00525
4.827,-0.0031167
4.827,0.00315
4.827,0.0010667
4.827,0.0073333
4.827,0.0094333
4.9461,-0.00735
4.9461,0.0010167
4.9461,-0.0094333
4.9461,0.0093667
4.9461,-0.0010833
4.9461,0.0072833
4.9461,0.0031
4.9461,-0.0052667
4.9461,-0.0031667
4.9461,0.0051833
4.9571,-0.00885
4.9571,-0.0046833
4.9571,-0.0005
4.9571,0.0036833
4.9571,0.0016
4.9571,0.00995
4.9571,-0.0025833
4.9571,-0.0067667
4.9571,0.0057667
4.9571,0.0078667
5.0454,-0.0021167
5.0454,0.0062333
5.0454,0.0083333
5.0454,-0.0084
5.0454,0.00415
5.0454,-0.0063
5.0454,-0.0042167
5.0454,0.00205
5.0454,-3.3333e-05
5.0551,0.0075833
5.0551,-0.0049667
5.0551,-0.0028667
5.0551,-0.00705
5.0551,0.0013
5.0551,-0.00078333
5.0551,-0.00915
5.0551,0.0034
5.0551,0.0054833
5.0551,0.0096667
5.6055,0.00825
5.6055,0.0040667
5.6055,0.00615
5.6055,0.0019667
5.6055,-0.0043
5.6055,-0.00011667
5.6055,-0.0022
5.6055,-0.0084833
5.6055,-0.0063833
5.616,0.0062
5.616,0.0083
5.616,-0.0063333
5.616,0.0020167
5.616,-6.6667e-05
5.616,0.0041167
5.616,-0.00425
5.616,-0.0084333
5.616,-0.0021667
3.6762,-0.0084
3.6762,-0.0063167
3.6762,-0.0042167
3.6762,-0.0021333
3.6762,0.00205
3.6762,0.0083167
3.6762,-3.3333e-05
3.6762,0.0062333
3.6762,0.00415
3.6879,-0.00093333
3.6879,-0.0092833
3.6879,-0.0072
3.6879,0.00325
3.6879,0.0011667
3.6879,0.0053333
3.6879,0.0074333
3.6879,-0.0051167
3.6879,0.0095167
3.6879,-0.0030167
3.7891,-0.0063667
3.7891,0.002
3.7891,0.0082667
3.7891,0.0040833
3.7891,-0.00845
3.7891,-0.0021833
3.7891,-0.0042667
3.7891,-8.3333e-05
3.7891,0.0061833
3.8003,-0.0097667
3.8003,0.00485
3.8003,-0.0056
3.8003,0.0027667
3.8003,-0.0014167
3.8003,0.0090333
3.8003,-0.0076833
3.8003,-0.0035
3.8003,0.00695
3.8003,0.00068333
3.8997,-0.0086167
3.8997,-0.0044333
3.8997,0.0018333
3.8997,0.0060167
3.8997,0.0039333
3.8997,-0.0065167
3.8997,-0.0023333
3.8997,-0.00025
3.8997,0.0081167
3.913,0.0047
3.913,-0.0015667
3.913,-0.0099333
3.913,0.0088833
3.913,-0.0078333
3.913,-0.00365
3.913,0.0026167
3.913,-0.00575
3.913,0.0068
3.913,0.00051667
4.0028,-0.0079
4.0028,0.0067333
4.0028,-0.0037167
4.0028,0.00255
4.0028,-0.0016333
4.0028,0.00465
4.0028,-0.0058
4.0028,-0.0099833
4.0028,0.0088333
4.0028,0.00046667
4.0528,0.00445
4.0528,-0.0081
4.0528,0.0065333
4.0528,0.00235
4.0528,0.00026667
4.0528,-0.0039167
4.0528,-0.0018167
4.0528,-0.006
4.0528,0.0086333
4.1893,0.0050333
4.1893,0.0071167
4.1893,-0.0012333
4.1893,0.00295
4.1893,0.0092167
4.1893,-0.0054167
4.1893,-0.0075167
4.1893,0.00085
4.1893,-0.0033333
4.1893,-0.0096
4.3482,-0.0095331
4.3482,-0.0053497
4.3482,0.0051003
4.3482,0.00091693
4.3482,0.0071836
4.3482,-0.0074497
4.3482,0.0092836
4.3482,0.0030003
4.3482,-0.0011664
4.3482,-0.0032664
4.5549,0.0028667
4.5549,-0.0013167
4.5549,-0.0096833
4.5549,0.0091333
4.5549,0.00078333
4.5549,0.00495
4.5549,0.00705
4.5549,-0.0034
4.5549,-0.0055
4.5549,-0.0075833
4.5667,0.0020333
4.5667,-0.0063167
4.5667,-5e-05
4.5667,-0.0042333
